tanggal,jenis,kategori,deskripsi,produk_id,jumlah_unit,jumlah_rp
2026-06-05,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,13.0,195000
2026-06-05,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,13.0,91000
2026-06-05,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,47666
2026-06-06,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,23.0,276000
2026-06-06,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,40.0,200000
2026-06-06,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,14.0,140000
2026-06-06,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,14.0,210000
2026-06-06,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,22.0,154000
2026-06-06,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Kopi Susu,P1,94.0,564000
2026-06-06,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Es Teh,P2,122.0,244000
2026-06-06,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Roti Bakar,P3,56.0,280000
2026-06-06,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Nasi Goreng,P4,60.0,480000
2026-06-06,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Cireng,P5,87.0,261000
2026-06-06,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,40233
2026-06-07,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,27.0,324000
2026-06-07,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,36.0,180000
2026-06-07,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,12.0,120000
2026-06-07,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,13.0,195000
2026-06-07,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,22.0,154000
2026-06-07,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,45695
2026-06-08,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,15.0,180000
2026-06-08,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,20.0,100000
2026-06-08,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,9.0,90000
2026-06-08,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,13.0,195000
2026-06-08,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,16.0,112000
2026-06-08,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,57102
2026-06-09,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,21.0,252000
2026-06-09,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,25.0,125000
2026-06-09,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,10.0,100000
2026-06-09,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,11.0,165000
2026-06-09,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,11.0,77000
2026-06-09,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,58797
2026-06-10,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,18.0,216000
2026-06-10,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,21.0,105000
2026-06-10,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,12.0,120000
2026-06-10,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,11.0,165000
2026-06-10,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,16.0,112000
2026-06-10,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,52372
2026-06-11,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,16.0,192000
2026-06-11,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,23.0,115000
2026-06-11,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,12.0,120000
2026-06-11,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,14.0,210000
2026-06-11,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,18.0,126000
2026-06-11,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Kopi Susu,P1,99.0,594000
2026-06-11,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Es Teh,P2,122.0,244000
2026-06-11,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Roti Bakar,P3,54.0,270000
2026-06-11,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Nasi Goreng,P4,57.0,456000
2026-06-11,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Cireng,P5,69.0,207000
2026-06-11,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,52705
2026-06-12,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,19.0,228000
2026-06-12,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,22.0,110000
2026-06-12,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,11.0,110000
2026-06-12,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,9.0,135000
2026-06-12,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,14.0,98000
2026-06-12,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,52857
2026-06-13,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,32.0,384000
2026-06-13,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,30.0,150000
2026-06-13,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,13.0,130000
2026-06-13,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,16.0,240000
2026-06-13,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,23.0,161000
2026-06-13,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,52630
2026-06-14,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,24.0,288000
2026-06-14,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,35.0,175000
2026-06-14,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,15.0,150000
2026-06-14,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,20.0,300000
2026-06-14,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,18.0,126000
2026-06-14,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,47379
2026-06-15,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,18.0,216000
2026-06-15,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,18.0,90000
2026-06-15,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,11.0,110000
2026-06-15,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,13.0,195000
2026-06-15,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,15.0,105000
2026-06-15,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,48123
2026-06-16,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,15.0,180000
2026-06-16,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,22.0,110000
2026-06-16,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,10.0,100000
2026-06-16,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,11.0,165000
2026-06-16,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,14.0,98000
2026-06-16,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Kopi Susu,P1,100.0,600000
2026-06-16,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Es Teh,P2,128.0,256000
2026-06-16,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Roti Bakar,P3,53.0,265000
2026-06-16,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Nasi Goreng,P4,74.0,592000
2026-06-16,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Cireng,P5,87.0,261000
2026-06-16,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,53232
2026-06-17,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,19.0,228000
2026-06-17,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,17.0,85000
2026-06-17,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,9.0,90000
2026-06-17,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,11.0,165000
2026-06-17,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,15.0,105000
2026-06-17,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,46539
2026-06-18,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,17.0,204000
2026-06-18,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,23.0,115000
2026-06-18,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,11.0,110000
2026-06-18,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,12.0,180000
2026-06-18,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,14.0,98000
2026-06-18,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,46628
2026-06-19,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,20.0,240000
2026-06-19,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,23.0,115000
2026-06-19,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,12.0,120000
2026-06-19,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,11.0,165000
2026-06-19,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,13.0,91000
2026-06-19,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,56185
2026-06-20,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,24.0,288000
2026-06-20,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,40.0,200000
2026-06-20,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,18.0,180000
2026-06-20,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,22.0,330000
2026-06-20,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,18.0,126000
2026-06-20,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,50615
2026-06-21,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,25.0,300000
2026-06-21,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,38.0,190000
2026-06-21,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,19.0,190000
2026-06-21,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,20.0,300000
2026-06-21,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,21.0,147000
2026-06-21,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Kopi Susu,P1,92.0,552000
2026-06-21,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Es Teh,P2,126.0,252000
2026-06-21,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Roti Bakar,P3,50.0,250000
2026-06-21,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Nasi Goreng,P4,69.0,552000
2026-06-21,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Cireng,P5,75.0,225000
2026-06-21,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,47076
2026-06-22,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,17.0,204000
2026-06-22,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,22.0,110000
2026-06-22,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,12.0,120000
2026-06-22,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,11.0,165000
2026-06-22,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,16.0,112000
2026-06-22,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,60457
2026-06-23,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,15.0,180000
2026-06-23,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,24.0,120000
2026-06-23,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,11.0,110000
2026-06-23,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,14.0,210000
2026-06-23,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,12.0,84000
2026-06-23,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,39436
2026-06-24,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,21.0,252000
2026-06-24,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,25.0,125000
2026-06-24,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,11.0,110000
2026-06-24,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,14.0,210000
2026-06-24,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,14.0,98000
2026-06-24,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,51858
2026-06-25,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,20.0,240000
2026-06-25,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,21.0,105000
2026-06-25,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,14.0,140000
2026-06-25,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,14.0,210000
2026-06-25,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,12.0,84000
2026-06-25,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,55252
2026-06-26,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,17.0,204000
2026-06-26,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,27.0,135000
2026-06-26,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,13.0,130000
2026-06-26,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,11.0,165000
2026-06-26,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,17.0,119000
2026-06-26,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Kopi Susu,P1,103.0,618000
2026-06-26,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Es Teh,P2,123.0,246000
2026-06-26,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Roti Bakar,P3,49.0,245000
2026-06-26,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Nasi Goreng,P4,64.0,512000
2026-06-26,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Cireng,P5,72.0,216000
2026-06-26,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,53302
2026-06-27,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,31.0,372000
2026-06-27,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,32.0,160000
2026-06-27,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,18.0,180000
2026-06-27,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,20.0,300000
2026-06-27,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,30.0,210000
2026-06-27,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,50750
2026-06-28,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,22.0,264000
2026-06-28,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,34.0,170000
2026-06-28,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,13.0,130000
2026-06-28,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,21.0,315000
2026-06-28,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,22.0,154000
2026-06-28,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,48902
2026-06-29,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,19.0,228000
2026-06-29,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,27.0,135000
2026-06-29,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,10.0,100000
2026-06-29,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,15.0,225000
2026-06-29,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,18.0,126000
2026-06-29,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,47263
2026-06-30,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,17.0,204000
2026-06-30,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,22.0,110000
2026-06-30,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,12.0,120000
2026-06-30,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,13.0,195000
2026-06-30,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,17.0,119000
2026-06-30,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,64103
2026-07-01,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,21.0,252000
2026-07-01,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,21.0,105000
2026-07-01,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,13.0,130000
2026-07-01,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,13.0,195000
2026-07-01,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,17.0,119000
2026-07-01,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Kopi Susu,P1,104.0,624000
2026-07-01,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Es Teh,P2,116.0,232000
2026-07-01,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Roti Bakar,P3,52.0,260000
2026-07-01,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Nasi Goreng,P4,72.0,576000
2026-07-01,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Cireng,P5,84.0,252000
2026-07-01,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,58530
2026-07-01,Pengeluaran,Lainnya,Sewa tempat bulanan,,,1500000
2026-07-02,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,21.0,252000
2026-07-02,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,38.0,190000
2026-07-02,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,12.0,120000
2026-07-02,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,16.0,240000
2026-07-02,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,18.0,126000
2026-07-02,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,55211
2026-07-03,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,19.0,228000
2026-07-03,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,27.0,135000
2026-07-03,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,10.0,100000
2026-07-03,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,13.0,195000
2026-07-03,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,14.0,98000
2026-07-03,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,50655
2026-07-04,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,38.0,456000
2026-07-04,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,25.0,125000
2026-07-04,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,17.0,170000
2026-07-04,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,14.0,210000
2026-07-04,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,20.0,140000
2026-07-04,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,58712
2026-07-05,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,28.0,336000
2026-07-05,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,29.0,145000
2026-07-05,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,14.0,140000
2026-07-05,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,21.0,315000
2026-07-05,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,20.0,140000
2026-07-05,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,51732
2026-07-06,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,20.0,240000
2026-07-06,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,22.0,110000
2026-07-06,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,15.0,150000
2026-07-06,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,15.0,225000
2026-07-06,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,11.0,77000
2026-07-06,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Kopi Susu,P1,107.0,642000
2026-07-06,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Es Teh,P2,113.0,226000
2026-07-06,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Roti Bakar,P3,54.0,270000
2026-07-06,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Nasi Goreng,P4,58.0,464000
2026-07-06,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Cireng,P5,67.0,201000
2026-07-06,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,51492
2026-07-07,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,18.0,216000
2026-07-07,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,31.0,155000
2026-07-07,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,11.0,110000
2026-07-07,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,13.0,195000
2026-07-07,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,17.0,119000
2026-07-07,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,37102
2026-07-08,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,23.0,276000
2026-07-08,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,30.0,150000
2026-07-08,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,12.0,120000
2026-07-08,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,17.0,255000
2026-07-08,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,13.0,91000
2026-07-08,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,64750
2026-07-09,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,18.0,216000
2026-07-09,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,20.0,100000
2026-07-09,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,11.0,110000
2026-07-09,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,17.0,255000
2026-07-09,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,16.0,112000
2026-07-09,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,42539
2026-07-10,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,16.0,192000
2026-07-10,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,25.0,125000
2026-07-10,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,8.0,80000
2026-07-10,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,11.0,165000
2026-07-10,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,20.0,140000
2026-07-10,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,60586
2026-07-11,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,28.0,336000
2026-07-11,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,33.0,165000
2026-07-11,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,16.0,160000
2026-07-11,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,26.0,390000
2026-07-11,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,24.0,168000
2026-07-11,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Kopi Susu,P1,90.0,540000
2026-07-11,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Es Teh,P2,107.0,214000
2026-07-11,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Roti Bakar,P3,57.0,285000
2026-07-11,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Nasi Goreng,P4,57.0,456000
2026-07-11,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Cireng,P5,79.0,237000
2026-07-11,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,57278
2026-07-12,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,29.0,348000
2026-07-12,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,39.0,195000
2026-07-12,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,20.0,200000
2026-07-12,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,16.0,240000
2026-07-12,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,30.0,210000
2026-07-12,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,34383
2026-07-13,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,20.0,240000
2026-07-13,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,27.0,135000
2026-07-13,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,12.0,120000
2026-07-13,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,12.0,180000
2026-07-13,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,16.0,112000
2026-07-13,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,46056
